,entropy,mean_intensity,std_deviation,fractal_dimension,skewness,kurtosis,uniformity,relative_smoothness
2023-01-01 00:00:00,4.434893591824399,121.19730854034424,79.52848495889495,1.2802841178102902,-0.8502525849054793,-1.243855058148043,0.09686676756246015,0.9998419167260528
2023-01-01 01:30:00,4.438163152993846,121.16879463195801,79.54132921762174,1.2857721234230859,-0.849330774457543,-1.2452850687189163,0.09691773630765965,0.9998419677681388
2023-01-01 03:00:00,4.433935939331564,121.14730548858643,79.55031743568878,1.2769832688567564,-0.8487884572185832,-1.2463335260381367,0.09708953418885358,0.9998420034719185
2023-01-01 04:30:00,4.430509264237188,121.12570476531982,79.55783757652547,1.282506343848785,-0.8482366959774067,-1.247386232192373,0.09720232440486143,0.9998420333347792
2023-01-01 06:00:00,4.423565238983962,121.10800361633301,79.56225613822903,1.2794083319054363,-0.8479598237856021,-1.2482635193137521,0.0974604293332959,0.9998420508771634
2023-01-01 07:30:00,4.4165980577986685,121.10101699829102,79.55921506056427,1.2834974864837636,-0.8480602305597835,-1.2483868878745183,0.09758574589250202,0.9998420388039208
2023-01-01 09:00:00,4.416964084046169,121.10492134094238,79.55754161864142,1.2821314685270273,-0.8481453295722221,-1.2481853407683117,0.09752026192654739,0.9998420321596755
2023-01-01 10:30:00,4.421648055211787,121.11619758605957,79.55167767953536,1.2766277621739313,-0.8484424605727166,-1.2475186518168606,0.09736840510959155,0.9998420088741431
2023-01-01 12:00:00,4.433256219752234,121.12910175323486,79.5454321673033,1.280448935252228,-0.8486214744114009,-1.2467223310153606,0.09707234433699341,0.9998419840677326
2023-01-01 13:30:00,4.444173336599741,121.15589618682861,79.53708993155404,1.2814802580542684,-0.8490858974658676,-1.2454130872398435,0.09666670658225485,0.9998419509242787
2023-01-01 15:00:00,4.435728124024959,121.1821985244751,79.52320240219684,1.2842806700512488,-0.8501091750750807,-1.2440154515848718,0.09683065171520866,0.9998418957264066
2023-01-01 16:30:00,4.426990425175918,121.20415306091309,79.51304516409303,1.284850160701245,-0.8509434630996882,-1.2428687264303144,0.09710575215831341,0.9998418553367739
2023-01-01 18:00:00,4.419373129392974,121.22322750091553,79.50137614561994,1.2811515570803251,-0.851799430037957,-1.2418407854197138,0.09717856753923115,0.999841808916534
2023-01-01 19:30:00,4.418031254528685,121.22901439666748,79.49755383999803,1.2808538195915757,-0.8520390585016236,-1.2414394591874387,0.09729614685966226,0.9998417937066687
2023-01-01 21:00:00,4.419855499710996,121.2271032333374,79.49733264078053,1.2799462258548318,-0.8520282992123159,-1.241546945164503,0.09716280098473362,0.9998417928263972
2023-01-01 22:30:00,4.4260655686698085,121.21768474578857,79.50298014937648,1.2825003267716162,-0.8515664800088053,-1.2419800095369786,0.09705696207129222,0.999841815298594
2023-01-02 00:00:00,4.434042319922386,121.1974744796753,79.5123578822314,1.2823028866962114,-0.850763129417773,-1.2429362116504155,0.09683301550103351,0.999841852603281
2023-01-02 01:30:00,4.4282872898800525,121.16436290740967,79.52087935215016,1.2812112378731118,-0.850099147157726,-1.2443944143148222,0.09707450720998168,0.9998418864903058
2023-01-02 03:00:00,4.428145521154071,121.14217567443848,79.53104426788583,1.2809919236861909,-0.8494049298209786,-1.245506913765522,0.09715820635938144,0.9998419268985204
2023-01-02 04:30:00,4.420867487925109,121.12404537200928,79.53594623659177,1.2812057044753902,-0.8491098884939773,-1.246380343093185,0.09735127187741455,0.9998419463796
2023-01-02 06:00:00,4.415763351316472,121.10688591003418,79.54097678094902,1.2777609378764514,-0.8487339662796826,-1.2471911809093255,0.09752277527695696,0.9998419663679127
2023-01-02 07:30:00,4.412106435642691,121.09452247619629,79.54226627160067,1.283075133044704,-0.8485883478725483,-1.2476691222321266,0.09765902079561783,0.999841971490951
2023-01-02 09:00:00,4.40866027201352,121.10464572906494,79.5377127868549,1.2770908731727895,-0.8489416994115725,-1.247127762015459,0.09760095612546138,0.9998419533992244
2023-01-02 10:30:00,4.418701881868147,121.11019039154053,79.53379597227173,1.2810661357462314,-0.8490014504783366,-1.2467327352470723,0.09733577464612608,0.9998419378346053
2023-01-02 12:00:00,4.423370179865412,121.1275224685669,79.52555026978416,1.2791389195130798,-0.8494851473914085,-1.2457327011581796,0.09726218562536815,0.9998419050603561
2023-01-02 13:30:00,4.431821293828567,121.1515474319458,79.51501628172221,1.2825566861634747,-0.8500312551372479,-1.2444389531151638,0.09695287670729158,0.9998418631760122
2023-01-02 21:00:00,4.415055192893396,121.21678733825684,79.47481760815779,1.2780428462975595,-0.8527522506574491,-1.2406496807755814,0.09724360997824988,0.9998417031884363
2023-01-02 22:30:00,4.422236507749366,121.20887756347656,79.48106936702816,1.2834007659769873,-0.8523028618362497,-1.2410656398517836,0.0970015858692932,0.9998417280858857
2023-01-03 00:00:00,4.419050531531913,121.1874132156372,79.48832773566858,1.2827098688665302,-0.8517727660831604,-1.2421399504581925,0.09707933855315787,0.9998417569847617
2023-01-03 01:30:00,4.420308762157644,121.15648555755615,79.4986107408207,1.2825584140455717,-0.8509726941036182,-1.2435051951027434,0.09726046059404325,0.9998417979125485
2023-01-03 03:00:00,4.417054214829147,121.136549949646,79.50853776592423,1.276374858979745,-0.8504105568344213,-1.2445649635023628,0.09733563156260061,0.9998418374084245
2023-01-03 04:30:00,4.413173356270132,121.11434650421143,79.51223707930619,1.2794748251238846,-0.8499981783917979,-1.2455364722691482,0.09745862130148453,0.99984185212281
